	n		
514	514	0.45590917765974	0.54409082234026
516	516	0.45599616716095	0.54400383283905
518	518	0.456082647621551	0.543917352378449
520	520	0.456168623972178	0.543831376027822
522	522	0.45625410107698	0.54374589892302
524	524	0.456339083734756	0.543660916265244
526	526	0.456423576680087	0.543576423319913
528	528	0.456507584584432	0.543492415415568
530	530	0.456591112057206	0.543408887942794
532	532	0.456674163646832	0.543325836353168
534	534	0.456756743841775	0.543243256158225
536	536	0.456838857071554	0.543161142928446
538	538	0.456920507707732	0.543079492292268
540	540	0.457001700064884	0.542998299935116
542	542	0.457082438401551	0.542917561598449
544	544	0.45716272692117	0.54283727307883
546	546	0.457242569772986	0.542757430227014
548	548	0.457321971052944	0.542678028947056
550	550	0.457400934804569	0.542599065195431
552	552	0.457479465019823	0.542520534980177
554	554	0.457557565639943	0.542442434360057
556	556	0.457635240556273	0.542364759443727
558	558	0.457712493611065	0.542287506388935
560	560	0.457789328598275	0.542210671401725
562	562	0.457865749264341	0.542134250735659
564	564	0.45794175930894	0.54205824069106
566	566	0.458017362385742	0.541982637614258
568	568	0.458092562103135	0.541907437896865
570	570	0.458167362024947	0.541832637975053
572	572	0.458241765671151	0.541758234328849
574	574	0.458315776518553	0.541684223481447
576	576	0.458389398001473	0.541610601998527
578	578	0.458462633512403	0.541537366487597
580	580	0.458535486402667	0.541464513597333
582	582	0.458607959983056	0.541392040016944
584	584	0.458680057524455	0.541319942475545
586	586	0.458751782258462	0.541248217741538
588	588	0.458823137377987	0.541176862622013
590	590	0.45889412603785	0.54110587396215
592	592	0.45896475135536	0.54103524864464
594	594	0.459035016410884	0.540964983589116
596	596	0.459104924248411	0.540895075751589
598	598	0.459174477876103	0.540825522123897
600	600	0.459243680266827	0.540756319733173
602	602	0.459312534358694	0.540687465641306
604	604	0.459381043055576	0.540618956944424
606	606	0.459449209227612	0.540550790772388
608	608	0.459517035711719	0.540482964288281
610	610	0.459584525312075	0.540415474687925
612	612	0.45965168080061	0.54034831919939
614	614	0.459718504917475	0.540281495082525
616	616	0.459785000371512	0.540214999628488
618	618	0.459851169840712	0.540148830159288
620	620	0.459917015972661	0.540082984027339
622	622	0.459982541384987	0.540017458615013
624	624	0.460047748665791	0.539952251334209
626	626	0.460112640374075	0.539887359625925
628	628	0.460177219040157	0.539822780959843
630	630	0.46024148716609	0.53975851283391
632	632	0.460305447226057	0.539694552773943
634	634	0.460369101666778	0.539630898333222
636	636	0.460432452907891	0.539567547092109
638	638	0.460495503342344	0.539504496657656
640	640	0.460558255336767	0.539441744663233
642	642	0.460620711231843	0.539379288768157
644	644	0.460682873342674	0.539317126657326
646	646	0.46074474395914	0.53925525604086
648	648	0.460806325346245	0.539193674653755
650	650	0.46086761974447	0.53913238025553
652	652	0.460928629370108	0.539071370629892
654	654	0.460989356415603	0.539010643584397
656	656	0.461049803049874	0.538950196950126
658	658	0.46110997141864	0.53889002858136
660	660	0.461169863644738	0.538830136355262
662	662	0.461229481828437	0.538770518171563
664	664	0.461288828047742	0.538711171952258
666	666	0.461347904358698	0.538652095641302
668	668	0.461406712795687	0.538593287204313
670	670	0.461465255371722	0.538534744628278
672	672	0.46152353407873	0.53847646592127
674	674	0.46158155088784	0.53841844911216
676	676	0.461639307749658	0.538360692250342
678	678	0.46169680659454	0.53830319340546
680	680	0.461754049332865	0.538245950667135
682	682	0.461811037855295	0.538188962144705
684	684	0.461867774033039	0.538132225966961
686	686	0.461924259718108	0.538075740281892
688	688	0.461980496743569	0.538019503256431
690	690	0.462036486923789	0.537963513076211
692	692	0.462092232054685	0.537907767945315
694	694	0.462147733913958	0.537852266086042
696	696	0.462202994261336	0.537797005738664
698	698	0.462258014838801	0.537741985161199
700	700	0.462312797370824	0.537687202629176
702	702	0.462367343564584	0.537632656435416
704	704	0.462421655110196	0.537578344889804
706	706	0.462475733680925	0.537524266319075
708	708	0.462529580933405	0.537470419066595
710	710	0.462583198507846	0.537416801492154
712	712	0.462636588028248	0.537363411971752
714	714	0.462689751102602	0.537310248897398
716	716	0.462742689323093	0.537257310676907
718	718	0.462795404266303	0.537204595733697
720	720	0.462847897493399	0.537152102506601
722	722	0.462900170550334	0.537099829449666
724	724	0.462952224968032	0.537047775031968
726	726	0.463004062262576	0.536995937737424
728	728	0.463055683935394	0.536944316064606
730	730	0.463107091473439	0.536892908526561
732	732	0.463158286349368	0.536841713650632
734	734	0.463209270021719	0.536790729978281
736	736	0.463260043935083	0.536739956064917
738	738	0.463310609520274	0.536689390479726
740	740	0.463360968194502	0.536639031805498
742	742	0.463411121361532	0.536588878638468
744	744	0.463461070411853	0.536538929588147
746	746	0.463510816722835	0.536489183277165
748	748	0.463560361658892	0.536439638341108
750	750	0.463609706571632	0.536390293428368
752	752	0.463658852800017	0.536341147199983
754	754	0.463707801670511	0.536292198329489
756	756	0.463756554497229	0.536243445502771
758	758	0.463805112582087	0.536194887417913
760	760	0.463853477214946	0.536146522785054
762	762	0.463901649673755	0.536098350326245
764	764	0.463949631224689	0.536050368775311
766	766	0.463997423122294	0.536002576877706
768	768	0.464045026609619	0.535954973390381
770	770	0.464092442918351	0.535907557081649
772	772	0.464139673268952	0.535860326731048
774	774	0.464186718870786	0.535813281129214
776	776	0.464233580922251	0.535766419077749
778	778	0.464280260610904	0.535719739389096
780	780	0.464326759113589	0.535673240886411
782	782	0.464373077596558	0.535626922403442
784	784	0.464419217215597	0.535580782784403
786	786	0.464465179116143	0.535534820883857
788	788	0.464510964433404	0.535489035566596
790	790	0.464556574292476	0.535443425707524
792	792	0.464602009808459	0.535397990191541
794	794	0.46464727208657	0.53535272791343
796	796	0.464692362222254	0.535307637777746
798	798	0.464737281301298	0.535262718698702
800	800	0.464782030399937	0.535217969600063
802	802	0.464826610584963	0.535173389415037
804	804	0.464871022913832	0.535128977086168
806	806	0.464915268434766	0.535084731565234
808	808	0.464959348186861	0.535040651813139
810	810	0.465003263200181	0.534996736799819
812	812	0.465047014495869	0.534952985504131
814	814	0.465090603086237	0.534909396913763
816	816	0.465134029974868	0.534865970025132
818	818	0.465177296156711	0.534822703843289
820	820	0.46522040261818	0.53477959738182
822	822	0.465263350337241	0.534736649662759
824	824	0.465306140283511	0.534693859716489
826	826	0.465348773418345	0.534651226581655
828	828	0.46539125069493	0.53460874930507
830	830	0.46543357305837	0.53456642694163
832	832	0.465475741445778	0.534524258554222
834	834	0.465517756786358	0.534482243213642
836	836	0.465559620001494	0.534440379998506
838	838	0.465601332004834	0.534398667995166
840	840	0.465642893702372	0.534357106297628
842	842	0.465684305992529	0.534315694007471
844	844	0.465725569766239	0.534274430233761
846	846	0.465766685907023	0.534233314092977
848	848	0.465807655291071	0.534192344708929
850	850	0.465848478787322	0.534151521212678
852	852	0.465889157257536	0.534110842742464
854	854	0.465929691556375	0.534070308443625
856	856	0.465970082531473	0.534029917468527
858	858	0.466010331023514	0.533989668976486
860	860	0.466050437866305	0.533949562133695
862	862	0.466090403886844	0.533909596113156
864	864	0.466130229905396	0.533869770094604
866	866	0.466169916735561	0.533830083264439
868	868	0.466209465184343	0.533790534815657
870	870	0.46624887605222	0.53375112394778
872	872	0.46628815013321	0.53371184986679
874	874	0.46632728821494	0.53367271178506
876	876	0.466366291078708	0.533633708921292
878	878	0.466405159499555	0.533594840500445
880	880	0.46644389424632	0.53355610575368
882	882	0.466482496081713	0.533517503918287
884	884	0.466520965762371	0.533479034237629
886	886	0.466559304038922	0.533440695961078
888	888	0.466597511656047	0.533402488343953
890	890	0.466635589352541	0.533364410647459
892	892	0.466673537861369	0.533326462138631
894	894	0.466711357909729	0.533288642090271
896	896	0.466749050219107	0.533250949780893
898	898	0.466786615505338	0.533213384494662
900	900	0.46682405447866	0.53317594552134
902	902	0.46686136784377	0.53313863215623
904	904	0.466898556299881	0.533101443700119
906	906	0.466935620540776	0.533064379459224
908	908	0.466972561254862	0.533027438745138
910	910	0.467009379125223	0.532990620874777
